"row.names","cost","count","type"
"703",108.81,15,"OP"
"704",89.35,10,"OP"
"705",163.7,2791,"OP"
"706",191.67,255,"OP"
"707",124.64,4298,"OP"
"708",91.1,1698,"OP"
"709",56.66,12076,"OP"
"710",115.48,17,"OP"
"711",237.63,375,"OP"
"712",145.85,355,"OP"
"713",110.47,30976,"OP"
"714",104.52,32,"OP"
"715",66.27,95,"OP"
"716",109.11,16,"OP"
"717",130.02,8,"OP"
"718",106.07,195,"OP"
"719",138.24,48,"OP"
"720",131.02,174,"OP"
"721",759.29,1640,"OP"
"722",620.57,12,"OP"
"723",81.95,25,"OP"
"724",225.61,33,"OP"
"725",161.69,322,"OP"
"726",62.16,121,"OP"
"727",162.62,9,"OP"
"728",55.86,14,"OP"
"729",93.09,4,"OP"
"730",365.81,226,"OP"
"731",125.24,19711,"OP"
"732",150.95,4,"OP"
"733",147.19,6,"OP"
"734",60.8,12,"OP"
"735",164.17,32,"OP"
"736",125.26,8,"OP"
"737",269.67,464,"OP"
"738",1033.68,222,"OP"
"739",231.55,62,"OP"
"740",183.76,8831,"OP"
"741",98.92,8,"OP"
"742",123.15,21,"OP"
"743",179.66,69,"OP"
"744",235.19,625,"OP"
"745",66.1,7,"OP"
"746",253.71,14,"OP"
"747",144.01,16035,"OP"
"748",165.79,1377,"OP"
"749",54.9,69,"OP"
"750",225.64,36,"OP"
"751",148.02,25,"OP"
"752",59.73,5,"OP"
"753",121.88,71,"OP"
"754",359.35,11,"OP"
"755",234.05,2,"OP"
"756",402.74,21,"OP"
"757",143.42,6,"OP"
"758",227.74,9,"OP"
"759",168.32,8,"OP"
"760",147.6,7,"OP"
"761",71.73,3,"OP"
"762",67.45,6,"OP"
"763",201.99,1,"OP"
"764",202.94,1,"OP"
"765",91.89,7,"OP"
"766",125,787802,"OP"
"767",112.11,47317,"OP"
"768",299.08,25973,"OP"
"769",149.19,2774,"OP"
"770",515,693,"OP"
"771",871,34,"OP"
"772",448,30,"OP"
"773",94.88,2574,"OP"
"774",219.5,1018,"OP"
"775",179.04,730,"OP"
"776",260.14,18,"OP"
"777",230.89,153,"OP"
"778",71.33,4405,"OP"
"779",212.7,11,"OP"
"780",190.49,56,"OP"
"781",250.79,189,"OP"
"782",275.19,18998,"OP"
"783",103.11,2650,"OP"
"784",870,17,"OP"
"785",66,2288432,"OP"
"786",232.22,1566,"OP"
"787",84,694783,"OP"
"788",69.79,13945,"OP"
"789",42.91,11474,"OP"
"790",94.72,32651,"OP"
